2020-04-09 11:02:31 
Start install: C:\server\www\shopclear\tmp\JoomShopping_black_template_QS_1.0.1.zip IP:127.0.0.1 UID:567
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/myaccount.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/register.js.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/register.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/vendor/info.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/vendor/products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/vendor/vendors.php
2020-04-09 11:04:22 
Start install: C:\server\www\shopclear\tmp\joomshopping_quick_icon_1.0.0.zip IP:127.0.0.1 UID:567
2020-04-09 11:04:22 Copy file: /jshop.php
2020-04-09 11:04:22 INSTALL_THROUGH_JOOMLA
2020-04-09 11:04:53 
Start install: C:\server\www\shopclear\tmp\addon_lang_editor_fulltext_1.0.4.zip IP:127.0.0.1 UID:567
2020-04-09 11:04:53 Copy file: /administrator/components/com_jshopping/controllers/langpackedit.php
2020-04-09 11:04:53 Copy file: /administrator/components/com_jshopping/models/langpack.php
2020-04-09 11:04:53 Copy file: /administrator/components/com_jshopping/views/langpackedit/view.html.php
2020-04-09 11:04:53 Copy file: /administrator/components/com_jshopping/views/langpackedit/tmpl/default.php
2020-04-09 11:04:53 Copy file: /components/com_jshopping/addons/addon_lang_translator/index.html
2020-04-09 11:04:53 Copy file: /components/com_jshopping/addons/addon_lang_translator/uninstall.php
2020-04-09 11:04:53 Copy file: /components/com_jshopping/lang/addon_lang_translator/de-DE.php
2020-04-09 11:04:53 Copy file: /components/com_jshopping/lang/addon_lang_translator/en-GB.php
2020-04-09 11:04:53 Copy file: /components/com_jshopping/lang/addon_lang_translator/ru-RU.php
2020-04-09 11:04:53 Copy file: /plugins/jshoppingmenu/addon_lang_translator/addon_lang_translator.php
2020-04-09 11:04:53 Copy file: /plugins/jshoppingmenu/addon_lang_translator/addon_lang_translator.xml
2020-04-09 11:05:20 
Start install: C:\server\www\shopclear\tmp\addon_jshopping_product_seo_1.0.4.zip IP:127.0.0.1 UID:567
2020-04-09 11:05:20 Copy file: /components/com_jshopping/addons/jshopping_product_seo/index.html
2020-04-09 11:05:20 Copy file: /components/com_jshopping/addons/jshopping_product_seo/uninstall.php
2020-04-09 11:05:20 Copy file: /components/com_jshopping/lang/addon_jshopping_product_seo/de-DE.php
2020-04-09 11:05:20 Copy file: /components/com_jshopping/lang/addon_jshopping_product_seo/en-GB.php
2020-04-09 11:05:20 Copy file: /components/com_jshopping/lang/addon_jshopping_product_seo/ru-RU.php
2020-04-09 11:05:20 Copy file: /plugins/jshoppingadmin/jshopping_product_seo/jshopping_product_seo.php
2020-04-09 11:05:20 Copy file: /plugins/jshoppingadmin/jshopping_product_seo/jshopping_product_seo.xml
2020-04-09 11:05:20 Copy file: /plugins/jshoppingrouter/jshopping_product_seo/jshopping_product_seo.php
2020-04-09 11:05:20 Copy file: /plugins/jshoppingrouter/jshopping_product_seo/jshopping_product_seo.xml
2020-04-09 11:06:05 
Start install: C:\server\www\shopclear\tmp\plg_jshopping_checkout_back_button_1.0.3.zip IP:127.0.0.1 UID:567
2020-04-09 11:06:05 Copy file: /jshopping_checkout_back_button.php
2020-04-09 11:06:05 INSTALL_THROUGH_JOOMLA
2020-04-09 11:06:34 
Start install: C:\server\www\shopclear\tmp\addon_jshopping_plus_minus_count_product_1.7_for_3.7.zip IP:127.0.0.1 UID:567
2020-04-09 11:06:34 Copy file: /components/com_jshopping/addons/jshopping_plus_minus_count_product/license.txt
2020-04-09 11:06:34 Copy file: /components/com_jshopping/addons/jshopping_plus_minus_count_product/uninstall.php
2020-04-09 11:06:34 Copy file: /plugins/jshoppingcheckout/plus_minus_count_product/plus_minus_count_product.php
2020-04-09 11:06:34 Copy file: /plugins/jshoppingcheckout/plus_minus_count_product/plus_minus_count_product.xml
2020-04-09 11:06:34 Copy file: /plugins/jshoppingproducts/plus_minus_count_product/plus_minus_count_product.php
2020-04-09 11:06:34 Copy file: /plugins/jshoppingproducts/plus_minus_count_product/plus_minus_count_product.xml
2020-04-09 11:07:00 
Start install: C:\server\www\shopclear\tmp\plg_jlsitemap_jshopping.zip IP:127.0.0.1 UID:567
2020-04-09 11:07:00 Copy file: /jshopping.php
2020-04-09 11:07:00 INSTALL_THROUGH_JOOMLA
2020-04-09 11:07:06 
Start install: C:\server\www\shopclear\tmp\plg_jshoppingadmin_attributes_image.zip IP:127.0.0.1 UID:567
2020-04-09 11:07:06 Copy file: /attributes_image.php
2020-04-09 11:07:06 INSTALL_THROUGH_JOOMLA
2020-04-09 14:33:53 
Start install: C:\server\www\shopclear\tmp\JoomShopping_template_default_div_3.20.0.zip IP:127.0.0.1 UID:567
2020-04-09 14:33:53 Copy file: /components/com_jshopping/css/default_div.css
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/cart/cart.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/cart/checkout.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/cart/wishlist.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/category/category_default.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/category/maincategory.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/category/products.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/adress.js.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/adress.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/finish.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/menu.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/orderemail.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/payments.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/previewfinish.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/checkout/shippings.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/content/content.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/list_products/block_pagination.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/list_products/form_filters.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/list_products/list_products.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/list_products/no_products.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/list_products/product.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/manufacturer/manufacturers.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/manufacturer/products.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/order/listorder.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/order/order.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/order/statusorder.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/product/block_image_middle.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/product/block_image_thumb.php
2020-04-09 14:33:53 Copy file: /components/com_jshopping/templates/default_div/product/commentemail.php
